 Etanol porcentaje,nd indice de refraccion,moles etanol,moles h20,Fraccion molar etanol,indice de refraccion,EBULLICION TEMPERATURA,Unnamed: 7,Temperatura (°C),X (líquido),Y (vapor)
0,1.333,0.0,5.5382907880133185,0.0,1.333,100.0,,78.0,1.0,1.0
2,1.3342,0.03425222487518993,5.427524972253052,0.006271260001817627,1.3342,,,79.0,0.85,0.95
4,1.3354,0.06850444975037986,5.316759156492786,0.012720723581843287,1.3354,,,80.0,0.75,0.9
6,1.3367,0.1027566746255698,5.205993340732519,0.019356095941285078,1.3367,,,81.0,0.65,0.85
8,1.3381,0.13700889950075973,5.095227524972253,0.02618553298928176,1.3381,,,82.0,0.55,0.78
10,1.3395,0.17126112437594965,4.9844617092119865,0.03321767478659568,1.3395,,,83.0,0.47,0.7
12,1.341,0.2055133492511396,4.87369589345172,0.04046168201209551,1.341,,,84.0,0.4,0.62
14,1.3425,0.23976557412632954,4.762930077691454,0.04792727577565269,1.3425,,,85.0,0.33,0.54
16,1.344,0.27401779900151946,4.652164261931188,0.0556247811412877,1.344,95.0,,86.0,0.27,0.46
18,1.3455,0.3082700238767094,4.541398446170921,0.0635651747703244,1.3455,,,87.0,0.22,0.38
20,1.3469,0.3425222487518993,4.4306326304106545,0.071760137146858,1.3469,,,88.0,0.18,0.32
22,1.3484,0.37677447362708927,4.319866814650388,0.08022210990809427,1.3484,,,89.0,0.14,0.27
26,1.3511,0.4452789233774691,4.098335183129856,0.09800104342922619,1.3511,,,90.0,0.11,0.22
28,1.3524,0.4795311482526591,3.987569367369589,0.10734729307649403,1.3524,90.0,,91.0,0.09,0.18
30,1.3535,0.5137833731278489,3.876803551609323,0.11701929193865235,1.3535,,,92.0,0.07,0.15
32,1.3546,0.5480355980030389,3.7660377358490567,0.12703437229558875,1.3546,,,93.0,0.05,0.12
34,1.3557,0.5822878228782289,3.65527192008879,0.1374111182372446,1.3557,,,94.0,0.03,0.09
36,1.3566,0.6165400477534188,3.5445061043285238,0.14816948075544378,1.3566,87.0,,95.0,0.01,0.06
38,1.3575,0.6507922726286087,3.4337402885682575,0.1593309057714822,1.3575,,,100.0,0.0,0.0
40,1.3583,0.6850444975037986,3.322974472807991,0.17091847682809444,1.3583,,,,,
42,1.359,0.7192967223789886,3.2122086570477246,0.18295707444354953,1.359,,,,,
44,1.3598,0.7535489472541785,3.1014428412874584,0.1954735544428358,1.3598,85.0,,,,
46,1.3604,0.7878011721293684,2.9906770255271917,0.2084969479559174,1.3604,,,,,
48,1.361,0.8220533970045584,2.8799112097669255,0.2220586862178238,1.361,,,,,
50,1.3616,0.8563056218797483,2.7691453940066593,0.23619285383459668,1.3616,,,,,
52,1.3621,0.8905578467549382,2.658379578246393,0.2509364748110779,1.3621,83.0,,,,
54,1.3626,0.9248100716301282,2.5476137624861264,0.26632983639380414,1.3626,,,,,
56,1.363,0.9590622965053182,2.43684794672586,0.28241685669312006,1.363,,,,,
58,1.3634,0.993314521380508,2.326082130965594,0.29924550314842535,1.3634,82.0,,,,
60,1.3638,1.0275667462556979,2.2153163152053272,0.31686827023381636,1.3638,,,,,
62,1.3641,1.0618189711308879,2.104550499445061,0.3353427264247048,1.3641,,,,,
64,1.3644,1.0960711960060778,1.9937846836847946,0.3547321424311012,1.3644,81.0,,,,
66,1.3647,1.1303234208812678,1.8830188679245283,0.3751062151419981,1.3647,,,,,
68,1.365,1.1645756457564578,1.7722530521642619,0.39654190473587364,1.365,,,,,
70,1.3652,1.1988278706316475,1.6614872364039954,0.4191244061477135,1.3652,,,,,
72,1.3654,1.2330800955068375,1.5507214206437292,0.4429482807423488,1.3654,,,,,
74,1.3655,1.2673323203820275,1.4399556048834627,0.46811877988845485,1.3655,,,,,
76,1.3657,1.3015845452572175,1.3291897891231965,0.4947533995019606,1.3657,,,,,
78,1.3657,1.3358367701324074,1.21842397336293,0.5229837139901398,1.3657,,,,,
80,1.3658,1.3700889950075972,1.1076581576026636,0.5529575499922313,1.3658,80.0,,,,
82,1.3657,1.4043412198827872,0.9968923418423973,0.584841575708207,1.3657,,,,,
84,1.3656,1.4385934447579771,0.8861265260821309,0.618824401563556,1.3656,,,,,
86,1.3655,1.472845669633167,0.7753607103218646,0.6551203140267874,1.3655,,,,,
88,1.3653,1.507097894508357,0.6645948945615983,0.6939737987313499,1.3653,,,,,
90,1.365,1.541350119383547,0.5538290788013318,0.735665054673542,1.365,79.0,,,,
92,1.3646,1.5756023442587368,0.44306326304106547,0.7805167624400587,1.3646,,,,,
94,1.3642,1.6098545691339268,0.33229744728079913,0.8289024522940122,1.3642,80.0,,,,
96,1.3636,1.6441067940091167,0.22153163152053273,0.8812569314133629,1.3636,80.2,,,,
98,1.363,1.6783590188843067,0.11076581576026637,0.9380893867127661,1.363,80.8,,,,
100,1.3614,1.7126112437594967,0.0,1.0,1.3614,78.5,,,,
